Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,MALAYSIA,49.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39,AUSTRALIA,79.2,47.52,42,0
EPX,Travel Agency,Online,Cancellation Plan,230,MALAYSIA,39.0,0.0,19,0
C2B,Airlines,Online,Annual Silver Plan,368,SINGAPORE,161.0,40.25,31,0
EPX,Travel Agency,Online,Cancellation Plan,18,HONG KONG,20.0,0.0,36,0
EPX,Travel Agency,Online,Other_Product,4,SINGAPORE,55.0,0.0,36,0
SSI,Airlines,Online,Other_Product,141,SINGAPORE,4.12,1.16,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,43,AUSTRALIA,79.2,47.52,52,0
EPX,Travel Agency,Online,Cancellation Plan,26,SINGAPORE,80.0,0.0,30,0
EPX,Travel Agency,Online,Cancellation Plan,78,HONG KONG,17.0,0.0,36,0
C2B,Airlines,Online,Annual Silver Plan,366,SINGAPORE,187.85,46.96,37,0
EPX,Travel Agency,Online,Cancellation Plan,6,SINGAPORE,30.0,0.0,36,0
RAB,Airlines,Online,Other_Product,69,Other_Destination,15.0,6.0,56,0
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,27.0,6.75,18,0
EPX,Travel Agency,Online,Cancellation Plan,40,MALAYSIA,21.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,AUSTRALIA,108.9,65.34,62,0
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,33.5,8.38,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,20,CHINA,36.0,0.0,35,0
JZI,Airlines,Online,Basic Plan,14,THAILAND,22.0,7.7,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,AUSTRALIA,79.2,47.52,36,0
EPX,Travel Agency,Online,Cancellation Plan,46,Other_Destination,10.0,0.0,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,THAILAND,20.0,0.0,34,0
EPX,Travel Agency,Online,Cancellation Plan,12,CHINA,35.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,61.5,15.38,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,HONG KONG,23.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,11,SINGAPORE,17.0,0.0,36,0
RAB,Airlines,Online,Other_Product,12,Other_Destination,15.0,6.0,22,0
EPX,Travel Agency,Online,Cancellation Plan,11,THAILAND,11.0,0.0,27,0
LWC,Travel Agency,Online,Other_Product,2,INDONESIA,25.0,16.25,48,0
C2B,Airlines,Online,Other_Product,16,SINGAPORE,103.5,25.88,31,0
EPX,Travel Agency,Online,Cancellation Plan,11,Other_Destination,45.0,0.0,36,0
EPX,Travel Agency,Online,Other_Product,14,Other_Destination,63.0,0.0,52,0
EPX,Travel Agency,Online,Other_Product,33,VIET NAM,20.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,8,Other_Destination,74.0,0.0,36,0
SSI,Airlines,Online,Other_Product,23,SINGAPORE,2.25,0.63,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,UNITED STATES,39.6,23.76,41,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,35,CHINA,27.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,9,UNITED KINGDOM,79.2,47.52,45,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,THAILAND,29.7,17.82,23,0
RAB,Airlines,Online,Other_Product,12,Other_Destination,15.0,6.0,53,0
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,16.0,4.0,56,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,39,MALAYSIA,29.7,17.82,31,0
C2B,Airlines,Online,Annual Silver Plan,378,SINGAPORE,216.0,54.0,21,0
JZI,Airlines,Online,Basic Plan,4,MALAYSIA,18.0,6.3,54,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,13,MALAYSIA,20.0,0.0,41,0
EPX,Travel Agency,Online,Cancellation Plan,30,THAILAND,10.0,0.0,38,0
EPX,Travel Agency,Online,Cancellation Plan,16,THAILAND,47.0,0.0,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,10,AUSTRALIA,29.7,17.82,43,0
JZI,Airlines,Online,Basic Plan,39,MALAYSIA,22.0,7.7,56,0
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,35.25,8.81,57,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,27,UNITED STATES,29.7,17.82,38,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,20,MALAYSIA,29.7,17.82,38,0
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,34.5,8.63,27,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,4,Other_Destination,28.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,31,MALAYSIA,21.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,18.5,4.63,26,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,115,AUSTRALIA,112.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,80,Other_Destination,71.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,11.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,3,SINGAPORE,32.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,2,MALAYSIA,19.0,0.0,35,0
EPX,Travel Agency,Online,Cancellation Plan,15,SINGAPORE,19.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,12,CHINA,10.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,89,CHINA,22.0,7.7,40,0
JZI,Airlines,Online,Basic Plan,19,Other_Destination,22.0,7.7,47,0
EPX,Travel Agency,Online,Cancellation Plan,78,SINGAPORE,80.0,0.0,36,0
SSI,Airlines,Online,Other_Product,12,SINGAPORE,3.47,0.97,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,THAILAND,44.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,12,"KOREA, REPUBLIC OF",42.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,30,AUSTRALIA,39.6,23.76,31,0
EPX,Travel Agency,Online,Cancellation Plan,76,UNITED STATES,80.0,0.0,38,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,20,Other_Destination,49.5,29.7,43,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,280,"TAIWAN, PROVINCE OF CHINA",20.0,0.0,64,0
EPX,Travel Agency,Online,Cancellation Plan,31,UNITED STATES,16.0,0.0,27,0
EPX,Travel Agency,Online,Cancellation Plan,44,THAILAND,19.0,0.0,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,2,MALAYSIA,19.8,11.88,26,0
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,54.5,13.63,37,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,18,PHILIPPINES,21.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,10,THAILAND,30.0,10.5,38,0
EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,34.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,33,SINGAPORE,26.5,6.63,32,0
EPX,Travel Agency,Online,Cancellation Plan,3,MALAYSIA,10.0,0.0,61,0
JZI,Airlines,Online,Basic Plan,50,THAILAND,30.0,10.5,52,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,68,AUSTRALIA,48.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,67,MALAYSIA,15.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,THAILAND,19.8,11.88,42,0
EPX,Travel Agency,Online,Cancellation Plan,33,CHINA,16.0,0.0,36,0
EPX,Travel Agency,Online,Other_Product,3,THAILAND,20.0,0.0,26,0
SSI,Airlines,Online,Other_Product,39,SINGAPORE,1.35,0.38,48,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,161.0,40.25,73,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,31,AUSTRALIA,59.4,35.64,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,103,AUSTRALIA,83.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,27.0,6.75,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,7,PHILIPPINES,40.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,144,INDONESIA,32.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,13,JAPAN,35.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,37,SINGAPORE,13.5,3.38,22,0
EPX,Travel Agency,Online,Cancellation Plan,15,Other_Destination,30.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,27,Other_Destination,39.6,23.76,52,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,31,Other_Destination,19.8,11.88,49,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,AUSTRALIA,39.6,23.76,28,0
EPX,Travel Agency,Online,Cancellation Plan,93,Other_Destination,16.0,0.0,23,0
SSI,Airlines,Online,Other_Product,50,SINGAPORE,11.94,3.35,48,0
C2B,Airlines,Online,Silver Plan,62,SINGAPORE,63.5,15.88,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,88,SINGAPORE,67.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,95.0,23.75,37,0
EPX,Travel Agency,Online,Cancellation Plan,13,JAPAN,13.0,0.0,25,0
EPX,Travel Agency,Online,Cancellation Plan,4,THAILAND,32.0,0.0,36,0
EPX,Travel Agency,Online,Other_Product,10,MALAYSIA,20.0,0.0,45,0
EPX,Travel Agency,Online,Cancellation Plan,7,Other_Destination,53.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,30,VIET NAM,17.0,0.0,35,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,MALAYSIA,29.7,17.82,33,0
EPX,Travel Agency,Online,Cancellation Plan,41,JAPAN,38.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,2,INDONESIA,20.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,3,Other_Destination,19.8,11.88,31,0
JZI,Airlines,Online,Basic Plan,34,MALAYSIA,22.0,7.7,42,0
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,41,0
EPX,Travel Agency,Online,Cancellation Plan,22,JAPAN,80.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,62,JAPAN,96.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,42,CHINA,52.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,Other_Destination,49.5,29.7,51,0
EPX,Travel Agency,Online,Other_Product,12,AUSTRALIA,20.0,0.0,36,0
JZI,Airlines,Online,Other_Product,14,CHINA,69.0,24.15,55,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,14,AUSTRALIA,39.6,23.76,56,0
EPX,Travel Agency,Online,Other_Product,4,Other_Destination,38.0,0.0,35,0
EPX,Travel Agency,Online,Cancellation Plan,59,CHINA,56.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,36,Other_Destination,37.0,12.95,33,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,7,CHINA,51.0,0.0,36,0
RAB,Airlines,Online,Other_Product,7,Other_Destination,23.0,9.2,46,0
EPX,Travel Agency,Online,Cancellation Plan,72,JAPAN,20.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,150,PHILIPPINES,10.0,0.0,36,0
TST,Travel Agency,Offline,Other_Product,74,MALAYSIA,30.0,10.5,61,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,74,UNITED STATES,112.0,0.0,42,0
EPX,Travel Agency,Online,Cancellation Plan,13,"TAIWAN, PROVINCE OF CHINA",20.0,0.0,63,0
EPX,Travel Agency,Online,Cancellation Plan,23,"KOREA, REPUBLIC OF",43.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,22,MALAYSIA,29.7,17.82,42,0
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,41.5,10.38,34,0
ART,Airlines,Online,Other_Product,1,MALAYSIA,8.28,2.9,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,28,"KOREA, REPUBLIC OF",39.6,23.76,31,0
JZI,Airlines,Online,Basic Plan,8,VIET NAM,18.0,6.3,59,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,39,UNITED KINGDOM,76.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,16,THAILAND,19.0,0.0,36,0
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,18.0,4.5,37,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,35,AUSTRALIA,59.4,35.64,71,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,AUSTRALIA,49.5,29.7,58,0
EPX,Travel Agency,Online,Cancellation Plan,49,UNITED KINGDOM,80.0,0.0,22,0
JZI,Airlines,Online,Basic Plan,2,THAILAND,18.0,6.3,47,0
RAB,Airlines,Online,Other_Product,57,Other_Destination,23.0,9.2,22,0
EPX,Travel Agency,Online,Cancellation Plan,32,INDONESIA,16.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,60,Other_Destination,10.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,Other_Destination,99.0,59.4,51,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,83,INDONESIA,20.0,0.0,37,0
LWC,Travel Agency,Online,Other_Product,9,"TAIWAN, PROVINCE OF CHINA",26.5,17.23,30,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,73,"TAIWAN, PROVINCE OF CHINA",112.0,0.0,24,0
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,20.25,5.06,56,0
EPX,Travel Agency,Online,Other_Product,18,JAPAN,27.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,19,SINGAPORE,56.7,14.18,24,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,64,JAPAN,48.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,5,VIET NAM,12.0,0.0,40,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,48,Other_Destination,101.0,0.0,35,0
JZI,Airlines,Online,Basic Plan,8,THAILAND,22.0,7.7,56,0
EPX,Travel Agency,Online,Cancellation Plan,9,SINGAPORE,13.0,0.0,55,0
EPX,Travel Agency,Online,Cancellation Plan,2,HONG KONG,27.0,0.0,58,0
EPX,Travel Agency,Online,Cancellation Plan,8,Other_Destination,18.0,0.0,40,0
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,36.75,9.19,62,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,3,MALAYSIA,20.0,0.0,65,0
EPX,Travel Agency,Online,Cancellation Plan,61,INDONESIA,11.0,0.0,35,0
EPX,Travel Agency,Online,Cancellation Plan,42,VIET NAM,10.0,0.0,23,0
SSI,Airlines,Online,Other_Product,99,SINGAPORE,1.32,0.37,48,0
CSR,Travel Agency,Offline,Other_Product,79,MALAYSIA,29.0,9.57,66,0
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,35.25,8.81,27,0
JZI,Airlines,Online,Basic Plan,48,JAPAN,26.0,9.1,32,0
EPX,Travel Agency,Online,Cancellation Plan,14,PHILIPPINES,12.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,48,THAILAND,39.6,23.76,34,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,62,"TAIWAN, PROVINCE OF CHINA",22.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,2,UNITED STATES,80.0,0.0,37,0
C2B,Airlines,Online,Other_Product,5,SINGAPORE,53.25,13.31,33,0
EPX,Travel Agency,Online,Other_Product,23,SINGAPORE,29.0,0.0,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,36,THAILAND,23.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,32,AUSTRALIA,69.3,41.58,25,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,11,PHILIPPINES,20.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,2,THAILAND,10.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,11,"TAIWAN, PROVINCE OF CHINA",36.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,38,CHINA,14.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,4,CHINA,44.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,112,ITALY,39.6,23.76,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,8,Other_Destination,68.0,0.0,35,0
RAB,Airlines,Online,Other_Product,35,Other_Destination,23.0,9.2,28,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,102,AUSTRALIA,59.4,35.64,48,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,9,"TAIWAN, PROVINCE OF CHINA",64.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,140,Other_Destination,118.8,71.28,33,0
EPX,Travel Agency,Online,Cancellation Plan,67,Other_Destination,80.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,84,CHINA,25.0,0.0,36,0
C2B,Airlines,Online,Silver Plan,50,SINGAPORE,82.55,20.64,28,0
JZI,Airlines,Online,Basic Plan,78,PHILIPPINES,33.0,11.55,36,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,Other_Destination,50.0,0.0,36,0
EPX,Travel Agency,Online,Cancellation Plan,142,UNITED STATES,66.0,0.0,28,0
EPX,Travel Agency,Online,Cancellation Plan,107,Other_Destination,15.0,0.0,57,0
EPX,Travel Agency,Online,Cancellation Plan,86,JAPAN,47.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,5,Other_Destination,49.5,29.7,31,0
EPX,Travel Agency,Online,Cancellation Plan,4,CHINA,30.0,0.0,36,0
TST,Travel Agency,Offline,Other_Product,20,THAILAND,30.0,10.5,71,0
ART,Airlines,Online,Other_Product,8,SINGAPORE,35.0,12.25,48,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,76,THAILAND,49.5,29.7,54,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,12,Other_Destination,69.3,41.58,31,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,12,CHINA,60.0,0.0,36,0
JZI,Airlines,Online,Basic Plan,10,CHINA,26.0,9.1,64,0
C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,60.0,15.0,23,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,16,THAILAND,20.0,0.0,20,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,AUSTRALIA,79.2,47.52,57,0
KML,Travel Agency,Online,Other_Product,55,Other_Destination,86.0,32.68,48,0
EPX,Travel Agency,Online,Cancellation Plan,90,"KOREA, REPUBLIC OF",25.0,0.0,31,0
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,18.5,4.63,25,0
EPX,Travel Agency,Online,Cancellation Plan,303,Other_Destination,35.0,0.0,21,0
EPX,Travel Agency,Online,2 way Comprehensive Plan,23,AUSTRALIA,77.0,0.0,36,0
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,2,UNITED STATES,9.9,5.94,46,0
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,33.5,8.38,39,0
